resample,18_34_CAT,18_34_ESP,18_34_Other,35_49_CAT,35_49_ESP,35_49_Other,50_64_CAT,50_64_ESP,50+_Other,65+_CAT,65+_ESP,check
33,144.8833536676591,9.720958263006066,68.7058883852719,199.81771453416127,22.978680214455142,75.19808583403395,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656441,118.42685016025132,9.947598300641403e-14
34,144.88335366765912,9.720958263006066,68.7058883852719,199.81771453416133,22.97868021445514,75.19808583403396,127.46593561428978,66.93006993743771,41.595686172869165,92.27677721656441,118.42685016025132,6.750155989720952e-14
35,144.88335366765912,9.720958263006064,68.70588838527192,199.81771453416127,22.978680214455142,75.19808583403398,127.46593561428978,66.93006993743772,41.59568617286916,92.27677721656443,118.42685016025133,7.283063041541027e-14
36,144.88335366765912,9.720958263006068,68.7058883852719,199.8177145341613,22.978680214455146,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656444,118.42685016025132,3.375077994860476e-14
37,144.88335366765912,9.720958263006066,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428979,66.93006993743771,41.595686172869165,92.27677721656444,118.42685016025132,4.973799150320701e-14
38,144.88335366765912,9.720958263006066,68.7058883852719,199.8177145341613,22.97868021445514,75.19808583403396,127.46593561428976,66.93006993743771,41.59568617286915,92.27677721656443,118.42685016025132,3.907985046680551e-14
39,144.88335366765915,9.720958263006066,68.7058883852719,199.81771453416127,22.978680214455146,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025132,7.460698725481052e-14
40,144.88335366765912,9.720958263006066,68.70588838527192,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025133,1.4210854715202004e-14
41,144.88335366765912,9.720958263006066,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286915,92.27677721656444,118.42685016025135,3.552713678800501e-14
42,144.88335366765912,9.720958263006066,68.70588838527192,199.8177145341613,22.97868021445514,75.19808583403396,127.46593561428978,66.93006993743771,41.595686172869165,92.27677721656444,118.42685016025133,3.907985046680551e-14
43,144.88335366765912,9.720958263006064,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428979,66.93006993743772,41.595686172869165,92.27677721656441,118.42685016025135,6.572520305780927e-14
44,144.88335366765912,9.720958263006066,68.7058883852719,199.81771453416133,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743771,41.595686172869165,92.27677721656443,118.42685016025133,3.552713678800501e-14
45,144.88335366765915,9.720958263006066,68.7058883852719,199.81771453416127,22.978680214455142,75.19808583403396,127.46593561428979,66.93006993743771,41.59568617286916,92.27677721656441,118.42685016025133,8.526512829121202e-14
46,144.88335366765912,9.720958263006066,68.70588838527192,199.81771453416127,22.97868021445514,75.19808583403395,127.46593561428979,66.93006993743771,41.59568617286916,92.27677721656444,118.42685016025133,8.881784197001252e-14
47,144.8833536676591,9.720958263006064,68.7058883852719,199.8177145341613,22.978680214455146,75.19808583403395,127.46593561428978,66.9300699374377,41.59568617286916,92.27677721656444,118.42685016025133,7.638334409421077e-14
48,144.88335366765912,9.720958263006068,68.70588838527192,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656441,118.42685016025132,4.440892098500626e-14
49,144.88335366765912,9.720958263006066,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428979,66.93006993743771,41.59568617286915,92.27677721656441,118.42685016025135,4.973799150320701e-14
50,144.88335366765912,9.720958263006064,68.7058883852719,199.81771453416127,22.978680214455146,75.19808583403396,127.46593561428976,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025135,6.217248937900877e-14
51,144.88335366765912,9.720958263006066,68.70588838527192,199.81771453416133,22.978680214455142,75.19808583403395,127.46593561428976,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025136,9.947598300641403e-14
52,144.88335366765912,9.720958263006066,68.7058883852719,199.8177145341613,22.978680214455146,75.19808583403396,127.46593561428978,66.9300699374377,41.595686172869165,92.27677721656443,118.42685016025133,2.4868995751603507e-14
53,144.88335366765912,9.720958263006068,68.7058883852719,199.8177145341613,22.978680214455146,75.19808583403398,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656441,118.42685016025135,4.796163466380676e-14
54,144.88335366765912,9.720958263006064,68.70588838527189,199.81771453416127,22.978680214455142,75.19808583403396,127.46593561428979,66.93006993743771,41.59568617286915,92.27677721656441,118.42685016025133,7.993605777301127e-14
55,144.88335366765912,9.720958263006066,68.7058883852719,199.81771453416133,22.978680214455142,75.19808583403396,127.46593561428979,66.93006993743772,41.59568617286915,92.27677721656443,118.42685016025133,6.394884621840902e-14
56,144.88335366765912,9.720958263006066,68.70588838527189,199.81771453416133,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743772,41.595686172869165,92.27677721656441,118.42685016025132,9.237055564881302e-14
57,144.88335366765912,9.720958263006066,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403398,127.46593561428978,66.93006993743772,41.59568617286916,92.27677721656444,118.42685016025133,4.263256414560601e-14
58,144.88335366765912,9.720958263006064,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656441,118.42685016025133,1.5987211554602254e-14
59,144.88335366765912,9.720958263006066,68.70588838527192,199.81771453416133,22.978680214455142,75.19808583403398,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025135,7.105427357601002e-14
60,144.88335366765912,9.720958263006068,68.7058883852719,199.8177145341613,22.978680214455146,75.19808583403398,127.46593561428976,66.93006993743771,41.59568617286915,92.27677721656443,118.4268501602513,6.927791673660977e-14
61,144.88335366765912,9.720958263006066,68.7058883852719,199.81771453416127,22.978680214455146,75.19808583403396,127.46593561428976,66.93006993743771,41.595686172869165,92.27677721656443,118.42685016025135,6.750155989720952e-14
62,144.8833536676591,9.720958263006066,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428976,66.93006993743771,41.59568617286915,92.27677721656443,118.42685016025133,4.973799150320701e-14
63,144.88335366765912,9.720958263006066,68.7058883852719,199.81771453416133,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025133,2.842170943040401e-14
64,144.8833536676591,9.720958263006068,68.7058883852719,199.81771453416127,22.978680214455142,75.19808583403396,127.46593561428979,66.9300699374377,41.59568617286915,92.27677721656443,118.42685016025133,9.414691248821327e-14
65,144.88335366765912,9.720958263006068,68.7058883852719,199.81771453416133,22.97868021445514,75.19808583403396,127.46593561428979,66.93006993743771,41.59568617286916,92.27677721656444,118.42685016025136,9.059419880941277e-14
66,144.88335366765912,9.720958263006064,68.7058883852719,199.8177145341613,22.97868021445514,75.19808583403396,127.46593561428975,66.93006993743771,41.595686172869165,92.27677721656443,118.42685016025132,5.5067062021407764e-14
67,144.88335366765912,9.720958263006068,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403395,127.46593561428978,66.93006993743771,41.59568617286916,92.2767772165644,118.42685016025132,5.861977570020827e-14
68,144.8833536676591,9.720958263006066,68.70588838527192,199.81771453416127,22.97868021445514,75.19808583403396,127.4659356142898,66.93006993743771,41.59568617286917,92.27677721656443,118.42685016025132,1.3145040611561853e-13
69,144.88335366765912,9.720958263006064,68.7058883852719,199.81771453416133,22.978680214455142,75.19808583403395,127.46593561428978,66.9300699374377,41.59568617286916,92.27677721656443,118.42685016025136,8.704148513061227e-14
70,144.88335366765912,9.720958263006064,68.7058883852719,199.8177145341613,22.97868021445514,75.19808583403396,127.46593561428978,66.93006993743771,41.595686172869165,92.27677721656443,118.42685016025135,2.6645352591003757e-14
71,144.88335366765912,9.720958263006068,68.70588838527189,199.81771453416133,22.978680214455142,75.19808583403396,127.46593561428976,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025135,7.283063041541027e-14
72,144.88335366765912,9.720958263006064,68.7058883852719,199.8177145341613,22.978680214455146,75.19808583403396,127.46593561428979,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025133,1.9539925233402755e-14
73,144.88335366765912,9.720958263006068,68.7058883852719,199.81771453416133,22.978680214455146,75.19808583403396,127.46593561428979,66.9300699374377,41.59568617286916,92.27677721656443,118.42685016025132,7.638334409421077e-14
74,144.88335366765912,9.720958263006068,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428978,66.9300699374377,41.59568617286916,92.27677721656443,118.42685016025133,1.5987211554602254e-14
75,144.88335366765912,9.720958263006066,68.7058883852719,199.8177145341613,22.978680214455146,75.19808583403398,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025132,3.197442310920451e-14
76,144.88335366765915,9.720958263006066,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428979,66.93006993743771,41.59568617286916,92.27677721656441,118.42685016025133,5.684341886080802e-14
77,144.88335366765912,9.720958263006066,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428976,66.93006993743771,41.59568617286915,92.27677721656444,118.4268501602513,6.394884621840902e-14
78,144.88335366765912,9.720958263006066,68.7058883852719,199.81771453416127,22.978680214455146,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025133,3.197442310920451e-14
79,144.8833536676591,9.720958263006064,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428976,66.93006993743771,41.595686172869165,92.27677721656444,118.42685016025132,7.993605777301127e-14
80,144.88335366765912,9.720958263006064,68.70588838527192,199.81771453416127,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025132,5.861977570020827e-14
81,144.88335366765912,9.720958263006064,68.70588838527189,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428978,66.9300699374377,41.59568617286915,92.27677721656443,118.42685016025135,5.1514348342607263e-14
82,144.8833536676591,9.720958263006066,68.7058883852719,199.81771453416133,22.978680214455142,75.19808583403396,127.46593561428979,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025133,7.105427357601002e-14
83,144.88335366765912,9.720958263006066,68.70588838527189,199.81771453416127,22.978680214455142,75.19808583403395,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025136,8.526512829121202e-14
84,144.88335366765912,9.720958263006068,68.7058883852719,199.81771453416127,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656441,118.42685016025135,5.861977570020827e-14
85,144.88335366765912,9.720958263006066,68.7058883852719,199.8177145341613,22.978680214455146,75.19808583403398,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656441,118.42685016025133,3.197442310920451e-14
86,144.88335366765912,9.720958263006068,68.70588838527192,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428979,66.93006993743772,41.595686172869165,92.27677721656443,118.42685016025133,5.1514348342607263e-14
